rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0229.jpg,91.6,0.5475,0.643,0.7,0.08,10,7,False,False
77,frame_0303.jpg,121.2,0.5422,0.7003,0.4,0.36,7,4,False,False
78,frame_0186.jpg,74.4,0.5409,0.6458,0.7,0.04,10,7,False,False
79,frame_0077.jpg,30.8,0.5405,0.6091,0.2,0.88,9,2,False,False
80,frame_0006.jpg,2.4,0.5399,0.4998,0.3,1.0,5,3,False,False
81,frame_0089.jpg,35.6,0.5361,0.7322,0.3,0.4,8,3,False,False
82,frame_0285.jpg,114.0,0.5355,0.6511,0.3,0.6,6,3,False,False
83,frame_0132.jpg,52.8,0.535,0.49,0.3,1.0,6,3,False,False
84,frame_0308.jpg,123.2,0.5347,0.7054,0.5,0.16,8,5,False,False
85,frame_0317.jpg,126.8,0.5347,0.7494,0.4,0.2,9,4,False,False
86,frame_0069.jpg,27.6,0.5335,0.607,0.1,1.0,8,1,False,False
87,frame_0282.jpg,112.8,0.5335,0.575,0.5,0.48,6,5,False,False
88,frame_0368.jpg,147.2,0.5334,0.6309,0.7,0.04,9,7,False,False
89,frame_0200.jpg,80.0,0.5322,0.7364,0.2,0.52,2,2,False,False
90,frame_0021.jpg,8.4,0.5312,0.4223,0.4,1.0,7,4,False,False
91,frame_0290.jpg,116.0,0.5298,0.4995,0.4,0.8,7,4,False,False
92,frame_0215.jpg,86.0,0.5283,0.5646,0.5,0.48,5,5,False,False
93,frame_0179.jpg,71.6,0.5252,0.5223,0.8,0.12,9,8,False,False
94,frame_0094.jpg,37.6,0.525,0.67,0.5,0.2,7,5,False,False
95,frame_0079.jpg,31.6,0.5244,0.5488,0.3,0.8,8,3,False,False
96,frame_0128.jpg,51.2,0.5239,0.5917,0.2,0.84,7,2,False,False
97,frame_0004.jpg,1.6,0.5234,0.4669,0.3,1.0,6,3,False,False
98,frame_0108.jpg,43.2,0.5231,0.6102,0.7,0.04,12,7,False,False
99,frame_0017.jpg,6.8,0.5226,0.4652,0.3,1.0,4,3,False,False
100,frame_0398.jpg,159.2,0.5219,0.6478,0.5,0.24,8,5,False,False
101,frame_0279.jpg,111.6,0.5212,0.6584,0.4,0.36,6,4,False,False
102,frame_0088.jpg,35.2,0.5186,0.5012,0.6,0.44,8,6,False,False
103,frame_0300.jpg,120.0,0.5145,0.657,0.3,0.48,8,3,False,False
104,frame_0118.jpg,47.2,0.5138,0.5516,0.5,0.44,9,5,False,False
105,frame_0005.jpg,2.0,0.5135,0.507,0.2,1.0,7,2,False,False
106,frame_0387.jpg,154.8,0.5134,0.6468,0.5,0.2,9,5,False,False
107,frame_0029.jpg,11.6,0.5121,0.5043,0.2,1.0,5,2,False,False
108,frame_0121.jpg,48.4,0.5108,0.6176,0.3,0.56,5,3,False,False
109,frame_0319.jpg,127.6,0.5107,0.6693,0.4,0.28,10,4,False,False
110,frame_0278.jpg,111.2,0.5102,0.5923,0.5,0.32,8,5,False,False
111,frame_0389.jpg,155.6,0.5094,0.6708,0.5,0.12,11,5,False,False
112,frame_0120.jpg,48.0,0.5055,0.623,0.3,0.52,6,3,False,False
113,frame_0119.jpg,47.6,0.5037,0.5155,0.5,0.48,7,5,False,False
114,frame_0109.jpg,43.6,0.5015,0.6709,0.5,0.08,10,5,False,False
115,frame_0116.jpg,46.4,0.5012,0.5584,0.5,0.36,9,5,False,False
116,frame_0332.jpg,132.8,0.5003,0.6846,0.5,0.04,10,5,False,False
117,frame_0014.jpg,5.6,0.4995,0.419,0.3,1.0,5,3,False,False
118,frame_0221.jpg,88.4,0.4982,0.5405,0.6,0.24,6,6,False,False
119,frame_0124.jpg,49.6,0.497,0.602,0.2,0.68,7,2,False,False
120,frame_0185.jpg,74.0,0.4967,0.6613,0.5,0.08,9,5,False,False
121,frame_0274.jpg,109.6,0.4935,0.7429,0.3,0.16,9,3,False,False
122,frame_0096.jpg,38.4,0.4923,0.7566,0.3,0.12,7,3,False,False
123,frame_0230.jpg,92.0,0.4922,0.5764,0.6,0.12,10,6,False,False
124,frame_0225.jpg,90.0,0.492,0.7721,0.3,0.08,8,3,False,False
125,frame_0273.jpg,109.2,0.4917,0.6354,0.5,0.12,7,5,False,False
126,frame_0333.jpg,133.2,0.491,0.71,0.4,0.08,10,4,False,False
127,frame_0023.jpg,9.2,0.4902,0.4603,0.2,1.0,3,2,False,False
128,frame_0028.jpg,11.2,0.4902,0.4003,0.3,1.0,5,3,False,False
129,frame_0081.jpg,32.4,0.4896,0.5112,0.3,0.72,7,3,False,False
130,frame_0208.jpg,83.2,0.4885,0.433,0.4,0.76,5,4,False,False
131,frame_0011.jpg,4.4,0.4884,0.5169,0.1,1.0,4,1,False,False
132,frame_0310.jpg,124.0,0.4873,0.5826,0.6,0.08,7,6,False,False
133,frame_0373.jpg,149.2,0.4829,0.6018,0.5,0.16,8,5,False,False
134,frame_0396.jpg,158.4,0.4828,0.7215,0.3,0.16,9,3,False,False
135,frame_0320.jpg,128.0,0.4799,0.6239,0.4,0.24,8,4,False,False
136,frame_0173.jpg,69.2,0.4788,0.5736,0.4,0.36,7,4,False,False
137,frame_0288.jpg,115.2,0.4788,0.5497,0.2,0.72,10,2,False,False
138,frame_0379.jpg,151.6,0.4787,0.5814,0.6,0.04,9,6,False,False
139,frame_0287.jpg,114.8,0.4752,0.4983,0.3,0.68,7,3,False,False
140,frame_0307.jpg,122.8,0.4741,0.5681,0.5,0.2,7,5,False,False
141,frame_0022.jpg,8.8,0.4724,0.4248,0.2,1.0,5,2,False,False
142,frame_0299.jpg,119.6,0.4709,0.5538,0.3,0.52,9,3,False,False
143,frame_0083.jpg,33.2,0.4666,0.5571,0.2,0.64,3,2,False,False
144,frame_0314.jpg,125.6,0.4663,0.8406,0.1,0.08,8,1,False,False
145,frame_0177.jpg,70.8,0.4652,0.6704,0.3,0.2,6,3,False,False
146,frame_0125.jpg,50.0,0.4648,0.5217,0.2,0.72,7,2,False,False
147,frame_0204.jpg,81.6,0.4648,0.5376,0.2,0.68,4,2,False,False
148,frame_0280.jpg,112.0,0.4647,0.7093,0.1,0.4,5,1,False,False
149,frame_0384.jpg,153.6,0.4647,0.6254,0.4,0.16,8,4,False,False
150,frame_0223.jpg,89.2,0.4622,0.6204,0.4,0.16,8,4,False,False
